Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,6743,4,590.0,611.1916280093991,8.076060563325882,2436.7011804133654,6.026546047753226,37.557605052684,0.022279463178219786,590,740,840,910,1100,1400,1600,1800,2200,2400,2400
,Aggregated,6743,4,590.0,611.1916280093991,8.076060563325882,2436.7011804133654,6.026546047753226,37.557605052684,0.022279463178219786,590,740,840,910,1100,1400,1600,1800,2200,2400,2400
