Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,7690,5,240.0,287.982339775541,10.868778452277184,1809.6353597939014,6.01222366710013,42.82030766142675,0.02784155244566109,240,370,440,490,620,750,930,1100,1600,1800,1800
,Aggregated,7690,5,240.0,287.982339775541,10.868778452277184,1809.6353597939014,6.01222366710013,42.82030766142675,0.02784155244566109,240,370,440,490,620,750,930,1100,1600,1800,1800
