Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,8522,2,54,62.621956422306006,8.514631539583206,510.8995158225298,6.027106313072049,47.49538776490614,0.01114653549986063,54,59,63,66,78,100,160,210,380,510,510
,Aggregated,8522,2,54,62.621956422306006,8.514631539583206,510.8995158225298,6.027106313072049,47.49538776490614,0.01114653549986063,54,59,63,66,78,100,160,210,380,510,510
