Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,7592,4,280.0,314.62500576598194,10.304227471351624,1820.3979283571243,6.05927291886196,42.27847105201105,0.022275274526876214,280,400,480,530,670,810,990,1100,1500,1800,1800
,Aggregated,7592,4,280.0,314.62500576598194,10.304227471351624,1820.3979283571243,6.05927291886196,42.27847105201105,0.022275274526876214,280,400,480,530,670,810,990,1100,1500,1800,1800
